name,photo_url
Pierre-Emerick Aubameyang,http://commons.wikimedia.org/wiki/Special:FilePath/1%20Pierre-Emerick%20Aubameyang%20%28cropped%29.jpg
Ashley Young,http://commons.wikimedia.org/wiki/Special:FilePath/Ashley%20Young%202018-06-13%201.jpg
Jude Bellingham,http://commons.wikimedia.org/wiki/Special:FilePath/25th%20Laureus%20World%20Sports%20Awards%20-%20Red%20Carpet%20-%20Jude%20Bellingham%20-%20240422%20190551-2%20%28cropped%29.jpg
Ousmane Dembélé,http://commons.wikimedia.org/wiki/Special:FilePath/Ousmane%20Demb%C3%A9l%C3%A9%202018%20%28cropped%29.jpg
Samuel Umtiti,http://commons.wikimedia.org/wiki/Special:FilePath/Samuel%20Umtiti%202018.jpg
Theo Walcott,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20Walcott%20happy%20with%20his%20goal%21%201%20%2816501335572%29%20%28cropped%29.jpg
Harry Maguire,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Prime%20Minister%20visits%20St%20George%27s%20Park%20-%2053248339219%20%28cropped%29.jpg
Raúl Albiol,http://commons.wikimedia.org/wiki/Special:FilePath/UEFA%20EURO%20qualifiers%20Sweden%20vs%20Spain%2020191015%20136%20%28cropped%29.jpg
César Azpilicueta,http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%A9sar%20Azpilicueta%2C%20Al%20Hilal%20SFC%20vs%20Chelsea%20F.C.%2C%209%20February%202022.jpg
Jamie Vardy,http://commons.wikimedia.org/wiki/Special:FilePath/Jamie%20Vardy%202018.jpg
Thiago Alcántara,http://commons.wikimedia.org/wiki/Special:FilePath/UEFA%20EURO%20qualifiers%20Sweden%20vs%20Spain%2020191015%20Thiago%20Alcantara%2013%20%28cropped%29.jpg
Jesús Navas,http://commons.wikimedia.org/wiki/Special:FilePath/Jes%C3%BAs%20Navas.jpg
Achraf Hakimi,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Salzburg%20gegen%20Paris%20Saint-Germain%20UEFA%20Champions%20League%2058.jpg
Mauro Icardi,http://commons.wikimedia.org/wiki/Special:FilePath/Zen-Int%20%282%29%20-%20Mauro%20Icardi%20%28cropped%29.jpg
Samir Nasri,http://commons.wikimedia.org/wiki/Special:FilePath/Samir%20Nasri%20Euro%202012.jpg
Luke Shaw,http://commons.wikimedia.org/wiki/Special:FilePath/Luke%20Shaw%2C%20Manchester%20United%20v%20Newcastle%20United%2C%2011%20September%202021%20%2844%29%20%28cropped%29.jpg
Francisco Román Alarcón,http://commons.wikimedia.org/wiki/Special:FilePath/Liver-RM%20%285%29%20%28cropped%29.jpg
Nacho,http://commons.wikimedia.org/wiki/Special:FilePath/Nacho%20Fern%C3%A1ndez.jpg
Danny Welbeck,http://commons.wikimedia.org/wiki/Special:FilePath/Danny%20Welbeck%202018-06-13%201.jpg
Bukayo Saka,http://commons.wikimedia.org/wiki/Special:FilePath/1%20bukayo%20saka%20arsenal%202025%20%28cropped%29.jpg
Rodri,http://commons.wikimedia.org/wiki/Special:FilePath/RODRI%20-%20SWE%20vs%20ESP%20-%20UEFA%20EURO%202020%20QUALIFIERS%20-%202019.10.15%20%28cropped%29.jpg
Ciro Immobile,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Ciro%20Immobile%201.jpg
Riyad Mahrez,http://commons.wikimedia.org/wiki/Special:FilePath/Mahrez%202021.jpg
Kyle Walker,http://commons.wikimedia.org/wiki/Special:FilePath/Kyle%20Walker.jpg
Joe Hart,http://commons.wikimedia.org/wiki/Special:FilePath/Joe%20Hart%2069775.jpg
Phil Jones,http://commons.wikimedia.org/wiki/Special:FilePath/Phil%20Jones%20-%20July%202015%20%28cropped%29.jpg
Dele Alli,http://commons.wikimedia.org/wiki/Special:FilePath/2020-03-10%20Dele%20Alli%20%28cropped%29.jpg
Jordan Pickford,http://commons.wikimedia.org/wiki/Special:FilePath/Jordan%20Pickford%202022-07-16%201.jpg
Garbiñe Muguruza,http://commons.wikimedia.org/wiki/Special:FilePath/Garbine%20Muguruza%202016.jpg
Garbiñe Muguruza,http://commons.wikimedia.org/wiki/Special:FilePath/Muguruza%20WM19%20%2866%29%20%2848521961407%29.jpg
Denis Cheryshev,http://commons.wikimedia.org/wiki/Special:FilePath/Denis%20Cheryshev%202014.jpg
